# Известные битые относительные ссылки в markdown.
# Перезаписывается `python scripts/check_doc_links.py --update`.
# Новая ссылка, которой здесь нет, роняет гейт; починенную --update уберёт.
# файл	цель	класс	где цель на самом деле
bugs/BUG-1013-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1015-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1017-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1023-FIXED.md	BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
bugs/BUG-1035-OPEN.md	BUG-1034-OPEN.md	stale-status-suffix	bugs/BUG-1034-FIXED.md
bugs/BUG-237-OPEN.md	BUG-199-OPEN.md	stale-status-suffix	bugs/BUG-199-FIXED.md
bugs/BUG-277-FIXED.md	BUG-247-OPEN.md	missing	
bugs/BUG-277-FIXED.md	BUG-249-FIXED.md	missing	
bugs/BUG-277-FIXED.md	BUG-635-OPEN.md	stale-status-suffix	bugs/BUG-635-FIXED.md
bugs/BUG-300-FIXED.md	BUG-301-OPEN.md	stale-status-suffix	bugs/BUG-301-FIXED.md
bugs/BUG-301-FIXED.md	BUG-309-OPEN.md	stale-status-suffix	bugs/BUG-309-FIXED.md
bugs/BUG-303-FIXED.md	BUG-459-OPEN.md	stale-status-suffix	bugs/BUG-459-FIXED.md
bugs/BUG-306-OPEN.md	BUG-307-OPEN.md	stale-status-suffix	bugs/BUG-307-FIXED.md
bugs/BUG-310-FIXED.md	BUG-302-OPEN.md	stale-status-suffix	bugs/BUG-302-FIXED.md
bugs/BUG-314-FIXED.md	BUG-305-OPEN.md	stale-status-suffix	bugs/BUG-305-FIXED.md
bugs/BUG-315-FIXED.md	BUG-309-OPEN.md	stale-status-suffix	bugs/BUG-309-FIXED.md
bugs/BUG-315-FIXED.md	BUG-310-OPEN.md	stale-status-suffix	bugs/BUG-310-FIXED.md
bugs/BUG-316-FIXED.md	BUG-297-OPEN.md	stale-status-suffix	bugs/BUG-297-FIXED.md
bugs/BUG-316-FIXED.md	BUG-311-OPEN.md	stale-status-suffix	bugs/BUG-311-FIXED.md
bugs/BUG-317-FIXED.md	BUG-318-OPEN.md	stale-status-suffix	bugs/BUG-318-FIXED.md
bugs/BUG-341-OPEN.md	BUG-349-OPEN.md	stale-status-suffix	bugs/BUG-349-FIXED.md
bugs/BUG-347-FIXED.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-348-FIXED.md	BUG-428-OPEN.md	stale-status-suffix	bugs/BUG-428-FIXED.md
bugs/BUG-367-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-368-FIXED.md	BUG-351-OPEN.md	stale-status-suffix	bugs/BUG-351-FIXED.md
bugs/BUG-368-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-381-FIXED.md	BUG-383-OPEN.md	stale-status-suffix	bugs/BUG-383-FIXED.md
bugs/BUG-382-FIXED.md	BUG-381-OPEN.md	stale-status-suffix	bugs/BUG-381-FIXED.md
bugs/BUG-383-FIXED.md	BUG-368-OPEN.md	stale-status-suffix	bugs/BUG-368-FIXED.md
bugs/BUG-383-FIXED.md	BUG-381-OPEN.md	stale-status-suffix	bugs/BUG-381-FIXED.md
bugs/BUG-384-FIXED.md	BUG-499-OPEN.md	stale-status-suffix	bugs/BUG-499-FIXED.md
bugs/BUG-405-FIXED.md	bugs/BUG-934-OPEN.md	wrong-relative-path	bugs/BUG-934-OPEN.md
bugs/BUG-406-OPEN.md	BUG-274-OPEN.md	stale-status-suffix	bugs/BUG-274-FIXED.md
bugs/BUG-412-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-413-FIXED.md	BUG-368-OPEN.md	stale-status-suffix	bugs/BUG-368-FIXED.md
bugs/BUG-413-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-415-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-416-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-418-FIXED.md	BUG-348-OPEN.md	stale-status-suffix	bugs/BUG-348-FIXED.md
bugs/BUG-420-FIXED.md	BUG-421-OPEN.md	stale-status-suffix	bugs/BUG-421-FIXED.md
bugs/BUG-423-FIXED.md	BUG-427-OPEN.md	stale-status-suffix	bugs/BUG-427-FIXED.md
bugs/BUG-425-FIXED.md	BUG-460-OPEN.md	stale-status-suffix	bugs/BUG-460-FIXED.md
bugs/BUG-426-FIXED.md	BUG-421-OPEN.md	stale-status-suffix	bugs/BUG-421-FIXED.md
bugs/BUG-426-FIXED.md	BUG-422-OPEN.md	stale-status-suffix	bugs/BUG-422-FIXED.md
bugs/BUG-428-FIXED.md	BUG-429-OPEN.md	stale-status-suffix	bugs/BUG-429-FIXED.md
bugs/BUG-437-FIXED.md	BUG-381-OPEN.md	stale-status-suffix	bugs/BUG-381-FIXED.md
bugs/BUG-437-FIXED.md	BUG-383-OPEN.md	stale-status-suffix	bugs/BUG-383-FIXED.md
bugs/BUG-437-FIXED.md	BUG-436-OPEN.md	stale-status-suffix	bugs/BUG-436-FIXED.md
bugs/BUG-439-FIXED.md	BUG-383-OPEN.md	stale-status-suffix	bugs/BUG-383-FIXED.md
bugs/BUG-441-FIXED.md	BUG-383-OPEN.md	stale-status-suffix	bugs/BUG-383-FIXED.md
bugs/BUG-443-FIXED.md	BUG-270-FIXED.md	missing	
bugs/BUG-443-FIXED.md	BUG-529-OPEN.md	stale-status-suffix	bugs/BUG-529-FIXED.md
bugs/BUG-449-FIXED.md	BUG-453-OPEN.md	stale-status-suffix	bugs/BUG-453-FIXED.md
bugs/BUG-450-FIXED.md	BUG-929-OPEN.md	stale-status-suffix	bugs/BUG-929-FIXED.md
bugs/BUG-452-FIXED.md	BUG-382-OPEN.md	stale-status-suffix	bugs/BUG-382-FIXED.md
bugs/BUG-453-FIXED.md	BUG-407-OPEN.md	stale-status-suffix	bugs/BUG-407-FIXED.md
bugs/BUG-456-FIXED.md	BUG-455-OPEN.md	stale-status-suffix	bugs/BUG-455-FIXED.md
bugs/BUG-456-FIXED.md	BUG-932-OPEN.md	stale-status-suffix	bugs/BUG-932-FIXED.md
bugs/BUG-462-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-472-OPEN.md	BUG-465-OPEN.md	stale-status-suffix	bugs/BUG-465-FIXED.md
bugs/BUG-474-FIXED.md	BUG-462-OPEN.md	stale-status-suffix	bugs/BUG-462-FIXED.md
bugs/BUG-478-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-479-FIXED.md	bugs/BUG-962-OPEN.md	wrong-relative-path	bugs/BUG-962-OPEN.md
bugs/BUG-480-OPEN.md	BUG-883-OPEN.md	stale-status-suffix	bugs/BUG-883-FIXED.md
bugs/BUG-481-FIXED.md	bugs/BUG-875-OPEN.md	wrong-relative-path	bugs/BUG-875-OPEN.md
bugs/BUG-482-FIXED.md	BUG-529-OPEN.md	stale-status-suffix	bugs/BUG-529-FIXED.md
bugs/BUG-484-OPEN.md	BUG-483-OPEN.md	stale-status-suffix	bugs/BUG-483-FIXED.md
bugs/BUG-485-FIXED.md	BUG-539-OPEN.md	stale-status-suffix	bugs/BUG-539-FIXED.md
bugs/BUG-487-FIXED.md	BUG-501-OPEN.md	stale-status-suffix	bugs/BUG-501-FIXED.md
bugs/BUG-490-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-493-OPEN.md	BUG-499-OPEN.md	stale-status-suffix	bugs/BUG-499-FIXED.md
bugs/BUG-496-FIXED.md	BUG-482-OPEN.md	stale-status-suffix	bugs/BUG-482-FIXED.md
bugs/BUG-503-FIXED.md	BUG-499-OPEN.md	stale-status-suffix	bugs/BUG-499-FIXED.md
bugs/BUG-504-FIXED.md	BUG-529-OPEN.md	stale-status-suffix	bugs/BUG-529-FIXED.md
bugs/BUG-504-FIXED.md	bugs/BUG-975-OPEN.md	stale-status-suffix	bugs/BUG-975-FIXED.md
bugs/BUG-513-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-518-FIXED.md	BUG-1008-FIXED.md	stale-status-suffix	bugs/BUG-1008-OPEN.md
bugs/BUG-522-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-523-FIXED.md	BUG-504-OPEN.md	stale-status-suffix	bugs/BUG-504-FIXED.md
bugs/BUG-523-FIXED.md	BUG-975-OPEN.md	stale-status-suffix	bugs/BUG-975-FIXED.md
bugs/BUG-526-FIXED.md	BUG-384-OPEN.md	stale-status-suffix	bugs/BUG-384-FIXED.md
bugs/BUG-529-FIXED.md	BUG-504-OPEN.md	stale-status-suffix	bugs/BUG-504-FIXED.md
bugs/BUG-536-FIXED.md	BUG-483-OPEN.md	stale-status-suffix	bugs/BUG-483-FIXED.md
bugs/BUG-536-FIXED.md	BUG-539-OPEN.md	stale-status-suffix	bugs/BUG-539-FIXED.md
bugs/BUG-537-FIXED.md	BUG-539-OPEN.md	stale-status-suffix	bugs/BUG-539-FIXED.md
bugs/BUG-538-OPEN.md	BUG-537-OPEN.md	stale-status-suffix	bugs/BUG-537-FIXED.md
bugs/BUG-538-OPEN.md	BUG-539-OPEN.md	stale-status-suffix	bugs/BUG-539-FIXED.md
bugs/BUG-539-FIXED.md	BUG-537-OPEN.md	stale-status-suffix	bugs/BUG-537-FIXED.md
bugs/BUG-554-OPEN.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-556-FIXED.md	BUG-476-OPEN.md	stale-status-suffix	bugs/BUG-476-FIXED.md
bugs/BUG-566-FIXED.md	BUG-1053-OPEN.md	stale-status-suffix	bugs/BUG-1053-FIXED.md
bugs/BUG-573-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-577-FIXED.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-584-OPEN.md	BUG-582-OPEN.md	stale-status-suffix	bugs/BUG-582-FIXED.md
bugs/BUG-590-FIXED.md	bugs/BUG-871-OPEN.md	wrong-relative-path	bugs/BUG-871-OPEN.md
bugs/BUG-599-FIXED.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-604-OPEN.md	BUG-351-OPEN.md	stale-status-suffix	bugs/BUG-351-FIXED.md
bugs/BUG-606-FIXED.md	BUG-1057-OPEN.md	stale-status-suffix	bugs/BUG-1057-FIXED.md
bugs/BUG-618-OPEN.md	BUG-462-OPEN.md	stale-status-suffix	bugs/BUG-462-FIXED.md
bugs/BUG-618-OPEN.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-630-OPEN.md	BUG-368-OPEN.md	stale-status-suffix	bugs/BUG-368-FIXED.md
bugs/BUG-630-OPEN.md	BUG-569-OPEN.md	stale-status-suffix	bugs/BUG-569-FIXED.md
bugs/BUG-631-FIXED.md	BUG-249-FIXED.md	missing	
bugs/BUG-655-OPEN.md	BUG-462-OPEN.md	stale-status-suffix	bugs/BUG-462-FIXED.md
